ID,Name,Car Plate Number,License Number,Issue Date,Expiry Date,Phone Number,Traffic Code Number,Place of Issue,Email Address
447-5163-4295939-2,Khalid Alhammadi,28319,86020,08-11-2017,04-03-2014,541307268,1541513701,Dubai,khalid.alhammadi@example.com
552-6081-1955264-2,Khalid Alhammadi,86211,58140,11-10-2007,24-11-1995,581578867,1192246613,Dubai,khalid.alhammadi@example.com
770-9390-5087170-2,Sara Alhammadi,46204,95539,07-09-2015,29-11-2016,586325663,1219188625,Dubai,sara.alhammadi@example.com
637-9506-3289772-2,Sara Alhammadi,11779,96206,09-08-2019,26-06-2009,524846950,1935407108,Dubai,sara.alhammadi@example.com
679-9747-6628582-2,Khalid Mohamed,60975,77747,13-09-1999,06-04-2010,527446851,1706804456,Dubai,khalid.mohamed@example.com
861-9294-6180574-2,Yunus Ahmed,32315,73923,01-05-1990,04-05-2017,562272033,1352126757,Abu Dhabi,yunus.ahmed@example.com
544-9501-8935450-2,Yunus Ahmed,91682,93164,08-05-1995,05-07-2005,538021449,1497373799,Sharjah,yunus.ahmed@example.com
137-4073-5863627-2,Yunus Ahmed,83968,78471,15-07-2007,27-09-2013,553069525,1414685697,Dubai,yunus.ahmed@example.com
810-4662-5853214-2,Sara Mohamed,34470,51094,08-01-2016,25-05-2001,577191123,1562076278,Abu Dhabi,sara.mohamed@example.com
926-4424-1209722-2,Khalid Mohamed,30279,88525,03-02-2005,16-07-2017,545876181,1427571041,Dubai,khalid.mohamed@example.com
466-7771-2780726-2,Sara Ahmed,97494,53219,15-04-1995,18-03-2015,520420176,1910832562,Abu Dhabi,sara.ahmed@example.com
763-1210-1162249-2,Khalid Mohamed,54205,63414,21-12-1995,07-05-1993,524670147,1550140977,Sharjah,khalid.mohamed@example.com
198-2200-9532419-2,Sara Ahmed,67915,54180,27-07-2004,30-03-2018,514458064,1712088814,Abu Dhabi,sara.ahmed@example.com
530-5756-8636015-2,Sara Ahmed,40373,74760,29-07-2007,24-08-2004,517477937,1569918278,Dubai,sara.ahmed@example.com
602-8822-4684421-2,Khalid Mohamed,27106,54947,13-10-2017,18-08-2004,500133509,1066077228,Sharjah,khalid.mohamed@example.com
217-7315-8020559-2,Yunus Alhammadi,62471,91432,27-10-1992,16-03-1992,581164552,1979285142,Abu Dhabi,yunus.alhammadi@example.com
963-2291-7119653-2,Yunus Alhammadi,74661,93072,26-02-1999,11-05-2016,579080422,1526980717,Abu Dhabi,yunus.alhammadi@example.com
478-7186-2305058-2,Khalid Alhammadi,66893,56280,22-09-1996,15-06-1992,582385990,1196414836,Sharjah,khalid.alhammadi@example.com
366-7421-8832251-2,Khalid Mohamed,50657,71723,27-09-2010,29-06-2005,574409850,1794150069,Sharjah,khalid.mohamed@example.com
677-3006-6732945-2,Sara Ahmed,59302,60739,08-07-2009,02-08-2002,558899464,1468648105,Sharjah,sara.ahmed@example.com
128-8211-9885788-2,Sara Ahmed,36359,91940,22-09-2014,16-03-2017,553784142,1300702286,Abu Dhabi,sara.ahmed@example.com
117-1152-8170672-2,Yunus Alhammadi,46779,93012,26-09-2003,06-05-2011,531586817,1094286945,Dubai,yunus.alhammadi@example.com
508-1018-3949277-2,Sara Mohamed,26177,67942,07-09-1998,09-10-1993,504068243,1720123005,Abu Dhabi,sara.mohamed@example.com
341-9399-2279190-2,Khalid Ahmed,77040,77035,02-10-1994,07-01-1997,553105594,1206424697,Abu Dhabi,khalid.ahmed@example.com
732-1236-7715734-2,Yunus Alhammadi,33198,92188,18-01-2001,01-03-2001,551306600,1111500514,Dubai,yunus.alhammadi@example.com
298-8702-4260974-2,Yunus Alhammadi,41678,63117,25-12-2013,16-08-1992,570624474,1500471805,Abu Dhabi,yunus.alhammadi@example.com
110-9691-4418047-2,Khalid Mohamed,38138,52234,23-07-2004,08-05-1997,507685758,1190260807,Sharjah,khalid.mohamed@example.com
756-9340-9548517-2,Khalid Mohamed,24483,60781,05-03-2003,21-10-1990,548184106,1757757120,Sharjah,khalid.mohamed@example.com
623-9467-6097765-2,Yunus Mohamed,40012,84592,19-10-1995,30-10-1997,512855402,1425468605,Abu Dhabi,yunus.mohamed@example.com
942-7432-1378229-2,Khalid Alhammadi,87494,58177,18-08-2019,06-12-2012,552243971,1443663575,Abu Dhabi,khalid.alhammadi@example.com
355-6771-6161900-2,Yunus Ahmed,42883,82698,14-05-1993,18-03-2012,568444169,1687719180,Sharjah,yunus.ahmed@example.com
909-6849-5348110-2,Sara Alhammadi,57760,85610,22-05-2008,16-10-2009,546035272,1226260906,Abu Dhabi,sara.alhammadi@example.com
927-7619-5859054-2,Yunus Ahmed,96137,77018,26-05-2000,19-06-2007,538212327,1983300482,Abu Dhabi,yunus.ahmed@example.com
817-3534-5636064-2,Khalid Alhammadi,52680,59450,28-11-1997,22-05-2005,515138360,1189861643,Abu Dhabi,khalid.alhammadi@example.com
608-6658-9033472-2,Yunus Alhammadi,15545,74958,16-09-2015,10-10-2014,578244419,1799066961,Sharjah,yunus.alhammadi@example.com
223-6695-6898572-2,Yunus Mohamed,83416,87150,21-08-1998,04-02-2012,599165287,1941803166,Dubai,yunus.mohamed@example.com
337-4992-5100508-2,Khalid Ahmed,87266,76894,28-10-2005,28-10-2002,587748978,1885819176,Abu Dhabi,khalid.ahmed@example.com
125-1836-6592006-2,Yunus Ahmed,99974,63194,17-02-1994,27-08-2006,584173499,1281249457,Sharjah,yunus.ahmed@example.com
895-6985-8832118-2,Sara Ahmed,87157,97884,07-08-2019,16-02-2014,530175245,1150781423,Abu Dhabi,sara.ahmed@example.com
627-2453-2722025-2,Sara Mohamed,51049,91491,05-01-1997,29-03-2015,543548313,1643773761,Abu Dhabi,sara.mohamed@example.com
335-5476-9254229-2,Sara Ahmed,87375,91596,02-02-2011,13-05-2007,566799005,1295672530,Abu Dhabi,sara.ahmed@example.com
422-4767-3855937-2,Yunus Ahmed,20958,70150,31-03-2019,13-07-2003,577709392,1303005746,Abu Dhabi,yunus.ahmed@example.com
302-9350-1579263-2,Sara Ahmed,53308,71535,06-08-1999,28-11-2015,538964676,1953861333,Abu Dhabi,sara.ahmed@example.com
458-6183-8222168-2,Yunus Mohamed,74048,64636,12-09-2002,24-04-1999,554711629,1148633101,Sharjah,yunus.mohamed@example.com
784-5965-4161709-2,Yunus Mohamed,71063,77656,21-08-2007,06-10-2012,519174304,1619000087,Sharjah,yunus.mohamed@example.com
177-1439-4818141-2,Sara Ahmed,72497,93443,04-07-1998,06-05-1998,547417670,1704599972,Dubai,sara.ahmed@example.com
116-6937-8418854-2,Khalid Mohamed,24730,87535,17-02-1995,20-02-2016,505987366,1970454734,Dubai,khalid.mohamed@example.com
758-2094-6358634-2,Khalid Mohamed,34731,74603,28-12-1991,29-04-1998,545257475,1860186264,Sharjah,khalid.mohamed@example.com
942-7991-3868268-2,Khalid Mohamed,96930,89337,16-11-1990,06-11-2016,539638179,1968911633,Sharjah,khalid.mohamed@example.com
352-7762-7961795-2,Khalid Mohamed,42666,90311,02-03-2016,25-07-1994,554822673,1351657421,Sharjah,khalid.mohamed@example.com
523-6740-9831428-2,Khalid Alhammadi,98292,88832,27-05-2005,05-09-2002,574685213,1031043637,Sharjah,khalid.alhammadi@example.com
637-4237-3736850-2,Sara Ahmed,79282,77949,10-10-2000,12-06-1996,511084441,1812228168,Abu Dhabi,sara.ahmed@example.com
527-7262-1731281-2,Khalid Ahmed,52373,88184,18-11-2017,05-05-2011,554860530,1996146602,Sharjah,khalid.ahmed@example.com
405-3799-7507294-2,Sara Ahmed,28581,79554,24-06-2011,24-08-2006,505106266,1263300155,Dubai,sara.ahmed@example.com
854-4362-8821734-2,Yunus Alhammadi,46598,78596,19-12-2002,13-01-2011,551875511,1235185427,Dubai,yunus.alhammadi@example.com
167-4796-4919973-2,Sara Ahmed,42246,75622,19-04-1993,21-07-2012,509487682,1105221134,Sharjah,sara.ahmed@example.com
335-6893-1546906-2,Khalid Ahmed,54875,76807,28-10-2004,27-03-2012,532774818,1581144733,Sharjah,khalid.ahmed@example.com
373-1818-3477121-2,Khalid Ahmed,16105,63905,31-01-1995,06-11-1991,532781310,1059467024,Sharjah,khalid.ahmed@example.com
641-8588-8837926-2,Sara Mohamed,77696,78751,11-10-1997,01-11-2009,568783336,1600066433,Dubai,sara.mohamed@example.com
477-9662-1484814-2,Yunus Alhammadi,95879,80088,29-11-2018,24-10-1998,565313056,1003444862,Sharjah,yunus.alhammadi@example.com
797-1251-6465952-2,Sara Ahmed,70297,72048,16-01-1995,21-03-2010,553354537,1895844370,Abu Dhabi,sara.ahmed@example.com
395-8543-3951341-2,Sara Alhammadi,40684,73399,08-06-1998,09-09-2006,574431762,1423333986,Sharjah,sara.alhammadi@example.com
886-8923-8997674-2,Yunus Mohamed,13527,72896,20-04-2000,21-05-1997,536711793,1792265161,Dubai,yunus.mohamed@example.com
706-8025-8838321-2,Yunus Alhammadi,66102,66762,24-02-2002,17-12-2008,535194368,1623303666,Dubai,yunus.alhammadi@example.com
764-5272-2085586-2,Khalid Ahmed,20396,63451,22-01-1993,27-02-1992,507862695,1205339363,Abu Dhabi,khalid.ahmed@example.com
352-8573-7979152-2,Yunus Mohamed,80606,57011,23-04-1994,08-09-1999,509179505,1503307079,Dubai,yunus.mohamed@example.com
349-1282-1868183-2,Khalid Alhammadi,63693,96935,14-01-2011,21-05-1990,510665514,1482299812,Sharjah,khalid.alhammadi@example.com
550-9224-1044918-2,Sara Ahmed,62455,76588,14-04-1998,29-07-2009,549345396,1440528555,Abu Dhabi,sara.ahmed@example.com
437-4715-4059892-2,Yunus Ahmed,90159,83639,11-01-1995,28-06-2001,567396904,1001391141,Sharjah,yunus.ahmed@example.com
892-8821-9189835-2,Khalid Ahmed,22203,59105,14-07-2003,29-05-1999,569501485,1652436942,Abu Dhabi,khalid.ahmed@example.com
599-9530-2770135-2,Khalid Ahmed,25815,55093,19-02-2005,04-12-2016,540014182,1298854778,Abu Dhabi,khalid.ahmed@example.com
862-4643-3124542-2,Yunus Alhammadi,15354,54928,01-05-2008,27-06-1995,579699967,1089932220,Abu Dhabi,yunus.alhammadi@example.com
928-1819-1950620-2,Yunus Mohamed,48668,93704,03-08-2009,24-05-2014,520311627,1800347334,Dubai,yunus.mohamed@example.com
731-9434-3092700-2,Sara Ahmed,12216,56626,16-01-1990,07-05-2016,518613451,1103865247,Dubai,sara.ahmed@example.com
432-5590-8680800-2,Sara Mohamed,51114,76666,18-01-2001,01-12-1993,516324146,1337826782,Sharjah,sara.mohamed@example.com
727-4281-4410945-2,Yunus Mohamed,51873,56510,22-11-1998,15-09-2007,543825722,1153894981,Abu Dhabi,yunus.mohamed@example.com
829-4016-9225788-2,Sara Ahmed,15226,78730,04-08-1997,13-12-1997,590730649,1138255253,Sharjah,sara.ahmed@example.com
414-9461-8700428-2,Khalid Mohamed,41242,78893,25-02-2008,06-05-2011,571142455,1122896530,Abu Dhabi,khalid.mohamed@example.com
219-7746-5477315-2,Sara Ahmed,15791,94304,07-03-1992,24-06-1990,522892597,1599410226,Sharjah,sara.ahmed@example.com
384-8910-9711638-2,Khalid Mohamed,55127,61206,17-02-2017,18-08-1999,502738091,1339332433,Sharjah,khalid.mohamed@example.com
446-3726-9438635-2,Khalid Ahmed,43999,56487,16-05-2019,04-08-2001,501979255,1172493757,Dubai,khalid.ahmed@example.com
114-9424-8134457-2,Sara Ahmed,17949,63712,30-10-1998,03-01-2005,546896600,1480653324,Dubai,sara.ahmed@example.com
407-2385-4714541-2,Yunus Ahmed,80717,89642,09-04-2008,20-05-2001,581943295,1153102681,Abu Dhabi,yunus.ahmed@example.com
954-1621-9740535-2,Sara Alhammadi,91592,64858,11-12-2007,21-09-1991,560860042,1849923967,Abu Dhabi,sara.alhammadi@example.com
805-3944-8814753-2,Khalid Alhammadi,79482,93534,12-07-1999,01-01-2016,566107837,1575737558,Abu Dhabi,khalid.alhammadi@example.com
